소유자명,생년월일,동호수,소유자_주소,아파트_소재지,도로명주소,건축물_연면적,거주형태,등기목적_분류,등기원인_년월일,근저당설정여부,근저당금액,보유기간,압류가압류,소유형태,세대유형,공유자수,단독소유자수
 홍길동1,,광진구 구의동 101호,경기도 여주시 능서면 구양2길 10,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제1층 제101호,서울특별시 광진구 천호대로 666,49.17,투자,매매,2016-07-27,N,,4년 11개월,없음,공유자,공유세대,2,0
 홍길동3,,광진구 구의동 102-1호,"서울특별시 광진구 천호대로137길 16-10,102동 101호(구의동,아차산인앤인더블류클래스)",서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제1층 제102-1호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2017-03-31,N,,4년 9개월,없음,공유자,공유세대,2,0
 홍길동5,110111-0672538,광진구 구의동 102-2호,"서울특별시 송파구 양산로4길 16,502동 203호(거여동,거여5단지아파트)",서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제1층 제102-2호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2017-09-02,Y,120000000,4년 11개월,없음,단독소유자,단독세대,0,1
 홍길동6,,광진구 구의동 103-1호,경기도 남양주시 덕소로 33-95(삼패동),서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제1층 제103-1호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2017-09-20,N,,4년 9개월,없음,단독소유자,단독세대,0,1
 홍길동7,"110111-0023393
110111-4943597",광진구 구의동 103-2호,서울특별시 광진구 능동로34길 47(능동),서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제1층 제103-2호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2018-10-30,Y,579200000,3년 11개월,없음,공유자,공유세대,2,0
 홍길동9,,광진구 구의동 104호,"서울특별시 금천구 가산디지털1로 181, 1401호(가산동, 가산더블유센터)",서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제1층 제104호,서울특별시 광진구 천호대로 666,131.28,투자,매매,2019-02-18,N,,3년 7개월,없음,단독소유자,단독세대,0,1
 홍길동10,110111-0672538,광진구 구의동 105호,"서울특별시 광진구 영화사로13길 4,403호(구의동)",서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제1층 제105호,서울특별시 광진구 천호대로 666,42.9,투자,매매,2016-11-08,Y,336000000,4년 11개월,없음,단독소유자,단독세대,0,1
 홍길동11,110111-0672538,광진구 구의동 106-1호,"서울특별시 강남구 자곡로3길 21,502동 547호(자곡동,엘에이치강남힐스테이트)",서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제1층 제106-1호,서울특별시 광진구 천호대로 666,61.32,투자,매매,2017-09-06,Y,480000000,4년 11개월,없음,단독소유자,단독세대,0,1
 홍길동12,"114238-0007147
590303-*******",광진구 구의동 106-2호,"서울특별시 광진구 천호대로116길 100,301호(능동)",서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제1층 제106-2호,서울특별시 광진구 천호대로 666,41.596,투자,매매,2022-06-02,Y,405600000,0년 3개월,없음,단독소유자,단독세대,0,1
 홍길동13,731026,광진구 구의동 202-1호,중국 청두시 진장구 춘시로 567호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제2층 제202-1호,서울특별시 광진구 천호대로 666,49.17,투자,매매,2018-10-28,Y,160000000,2년 11개월,없음,단독소유자,단독세대,0,1
 홍길동14,680523,광진구 구의동 202-2호,경기도 성남시 분당구 수내동 979-49,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제2층 제202-2호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2023-05-08,Y,160000000,5년 6개월,없음,단독소유자,단독세대,0,1
 홍길동15,501009,광진구 구의동 203-1호,대구광역시 수성구 범어동 809-42,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제2층 제203-1호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2018-10-12,Y,,9년 6개월,없음,단독소유자,단독세대,0,1
 홍길동16,570324,광진구 구의동 203-2호,미국 조지아주 애틀랜타시 피치트리로드 654,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제2층 제203-2호,서울특별시 광진구 천호대로 666,47.68,투자,상속,2018-10-12,Y,290000000,4년 10개월,없음,단독소유자,단독세대,0,1
 홍길동17,580809,광진구 구의동 204호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제2층 제204호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제2층 제204호,서울특별시 광진구 천호대로 666,47.68,실거주,매매,2016-05-26,Y,370000000,4년 5개월,없음,단독소유자,단독세대,0,1
 홍길동18,830518,광진구 구의동 205호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제2층 제205호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제2층 제205호,서울특별시 광진구 천호대로 666,131.28,실거주,매매,2015-07-23,Y,630000000,9년 9개월,없음,단독소유자,단독세대,0,1
 홍길동19,911028,광진구 구의동 206-1호,대전광역시 유성구 봉명동 61-22,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제2층 제206-1호,서울특별시 광진구 천호대로 666,42.9,투자,증여,2017-11-09,Y,680000000,8년 2개월,없음,단독소유자,단독세대,0,1
 홍길동20,570619,광진구 구의동 206-2호,중국 선전시 난산구 커지로드 234호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제2층 제206-2호,서울특별시 광진구 천호대로 666,61.32,투자,매매,2024-01-05,Y,170000000,0년 0개월,없음,단독소유자,단독세대,0,1
 홍길동21,800912,광진구 구의동 302-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제3층 제302-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제3층 제302-1호,서울특별시 광진구 천호대로 666,49.17,실거주,매매,2018-10-26,Y,470000000,3년 1개월,없음,단독소유자,단독세대,0,1
 홍길동22,501201,광진구 구의동 302-2호,미국 플로리다주 마이애미시 오션드라이브 321,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제3층 제302-2호,서울특별시 광진구 천호대로 666,47.68,투자,상속,2017-03-07,Y,260000000,1년 1개월,없음,단독소유자,단독세대,0,1
 홍길동23,530709,광진구 구의동 303-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제3층 제303-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제3층 제303-1호,서울특별시 광진구 천호대로 666,47.68,실거주,상속,2019-05-12,Y,,0년 2개월,없음,단독소유자,단독세대,0,1
 홍길동24,770712,광진구 구의동 303-2호,중국 베이징시 차오양구 궈마오 123호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제3층 제303-2호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2020-05-27,Y,480000000,5년 8개월,없음,단독소유자,단독세대,0,1
 홍길동25,540910,광진구 구의동 304호,미국 텍사스주 휴스턴시 메인스트리트 890,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제3층 제304호,서울특별시 광진구 천호대로 666,47.68,투자,상속,2020-06-24,Y,780000000,8년 9개월,없음,단독소유자,단독세대,0,1
 홍길동26,510421,광진구 구의동 305호,인천광역시 연수구 송도동 2-32,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제3층 제305호,서울특별시 광진구 천호대로 666,131.28,투자,증여,2016-02-06,Y,380000000,8년 7개월,없음,단독소유자,단독세대,0,1
 홍길동27,990203,광진구 구의동 306-1호,대전광역시 유성구 노은동 674-20,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제3층 제306-1호,서울특별시 광진구 천호대로 666,42.9,투자,상속,2015-06-02,Y,490000000,5년 8개월,없음,단독소유자,단독세대,0,1
 홍길동28,000127,광진구 구의동 306-2호,중국 청두시 진장구 춘시로 567호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제3층 제306-2호,서울특별시 광진구 천호대로 666,61.32,투자,매매,2022-11-10,Y,,3년 11개월,없음,단독소유자,단독세대,0,1
 홍길동29,550305,광진구 구의동 402-1호,부산광역시 해운대구 송정동 759-40,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제4층 제402-1호,서울특별시 광진구 천호대로 666,49.17,투자,매매,2021-12-19,Y,,1년 0개월,없음,단독소유자,단독세대,0,1
 홍길동30,630808,광진구 구의동 402-2호,대구광역시 수성구 황금동 502-17,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제4층 제402-2호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2024-12-06,Y,300000000,6년 4개월,없음,단독소유자,단독세대,0,1
 홍길동31,671225,광진구 구의동 403-1호,경기도 수원시 영통구 매탄동 742-9,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제4층 제403-1호,서울특별시 광진구 천호대로 666,47.68,투자,상속,2019-07-14,Y,360000000,1년 10개월,없음,단독소유자,단독세대,0,1
 홍길동32,540406,광진구 구의동 403-2호,미국 워싱턴주 시애틀시 파인스트리트 456,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제4층 제403-2호,서울특별시 광진구 천호대로 666,47.68,투자,경매,2020-07-05,Y,200000000,0년 8개월,없음,단독소유자,단독세대,0,1
 홍길동33,750522,광진구 구의동 404호,경기도 성남시 분당구 야탑동 345-18,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제4층 제404호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2018-11-15,Y,,7년 5개월,없음,단독소유자,단독세대,0,1
 홍길동34,591024,광진구 구의동 405호,경기도 고양시 일산동구 장항동 14-4,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제4층 제405호,서울특별시 광진구 천호대로 666,131.28,투자,상속,2021-01-24,Y,630000000,6년 11개월,없음,단독소유자,단독세대,0,1
 홍길동35,950203,광진구 구의동 406-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제4층 제406-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제4층 제406-1호,서울특별시 광진구 천호대로 666,42.9,실거주,매매,2017-08-21,Y,50000000,3년 6개월,없음,단독소유자,단독세대,0,1
 홍길동36,810707,광진구 구의동 406-2호,대구광역시 수성구 황금동 370-18,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제4층 제406-2호,서울특별시 광진구 천호대로 666,61.32,투자,매매,2022-10-14,Y,240000000,2년 7개월,없음,단독소유자,단독세대,0,1
 홍길동37,950401,광진구 구의동 502-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제5층 제502-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제5층 제502-1호,서울특별시 광진구 천호대로 666,49.17,실거주,상속,2024-01-27,Y,,8년 4개월,없음,단독소유자,단독세대,0,1
 홍길동38,691104,광진구 구의동 502-2호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제5층 제502-2호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제5층 제502-2호,서울특별시 광진구 천호대로 666,47.68,실거주,매매,2021-06-08,Y,290000000,7년 6개월,없음,단독소유자,단독세대,0,1
 홍길동39,771002,광진구 구의동 503-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제5층 제503-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제5층 제503-1호,서울특별시 광진구 천호대로 666,47.68,실거주,매매,2016-05-09,Y,220000000,2년 10개월,없음,단독소유자,단독세대,0,1
 홍길동40,691123,광진구 구의동 503-2호,미국 캘리포니아주 로스앤젤레스시 윌셔대로 1234,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제5층 제503-2호,서울특별시 광진구 천호대로 666,47.68,투자,증여,2022-12-11,Y,330000000,4년 7개월,없음,단독소유자,단독세대,0,1
 홍길동41,740926,광진구 구의동 504호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제5층 제504호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제5층 제504호,서울특별시 광진구 천호대로 666,47.68,실거주,증여,2017-11-07,Y,220000000,4년 2개월,없음,단독소유자,단독세대,0,1
 홍길동42,561108,광진구 구의동 505호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제5층 제505호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제5층 제505호,서울특별시 광진구 천호대로 666,131.28,실거주,증여,2020-03-17,Y,330000000,3년 6개월,없음,단독소유자,단독세대,0,1
 홍길동43,580128,광진구 구의동 506-1호,대구광역시 수성구 범어동 373-16,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제5층 제506-1호,서울특별시 광진구 천호대로 666,42.9,투자,증여,2018-07-13,Y,520000000,9년 2개월,없음,단독소유자,단독세대,0,1
