순번,소재지,건물명,건축연도,경과년수,전용면적_제곱미터,대지면적_제곱미터,대지권비율,실질대지지분_제곱미터,현소유자,주민번호,현주소,소유권취득일,보유기간_년,이전사유,근저당1_설정일,근저당1_채권최고액,근저당1_채무자,근저당1_근저당권자,근저당2_설정일,근저당2_채권최고액,근저당2_채무자,근저당2_근저당권자,유효근저당총액,유효근저당건수,소유권이전횟수,실거주여부,압류가압류유무,압류구분,압류일자,압류접수번호,압류권리자
1,서울시 영등포구 여의도동 41,대교아파트 1동 101호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,이찬종,520309-*******,서울특별시 영등포구 국제금융로7길 20 1동 101호,2003-10-02,22,매매,2015년10월16일,120000000,이찬종,주식회사국민은행,2015년10월29일,180000000,이찬종,주식회사국민은행,300000000,2,2,실거주 추정,N,,,,
2,서울시 영등포구 여의도동 41,대교아파트 1동 102호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,최철수,010623-4******,서울시 강북구 번동 281-54,2023-05-03,2,매매,,0,최철수,,,,,,0,,1,세입자 가능성,N,,,,
3,서울시 영등포구 여의도동 41,대교아파트 1동 103호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,박하은,031107-3******,서울시 은평구 갈현동 875-34,2015-09-01,10,매매,,0,박하은,,,,,,0,,0,세입자 가능성,N,,,,
4,서울시 영등포구 여의도동 41,대교아파트 1동 104호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,최미경,010425-4******,"서울시 영등포구 여의도동 41, 101동 104호",2021-04-09,4,증여,2013년07월15일,139560000,최미경,주식회사등본은행,,,,,139560000,1,0,실거주 추정,N,,,,
5,서울시 영등포구 여의도동 41,대교아파트 1동 105호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,김준서,550204-2******,"서울시 영등포구 여의도동 41, 101동 105호",2019-01-28,6,증여,2015년08월02일,1687700000,김준서,주식회사농협은행,,,,,1687700000,1,5,실거주 추정,N,,,,
6,서울시 영등포구 여의도동 41,대교아파트 1동 106호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,윤보미,031013-4******,"서울시 영등포구 여의도동 41, 101동 106호",2020-04-23,5,상속,2022년08월19일,816970000,윤보미,주식회사농협은행,,,,,816970000,1,3,실거주 추정,N,,,,
7,서울시 영등포구 여의도동 41,대교아파트 1동 107호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,최주원,741110-2******,"서울시 영등포구 여의도동 41, 101동 107호",2015-05-24,10,매매,2017년06월23일,1220250000,최주원,주식회사신한은행,,,,,1220250000,1,0,실거주 추정,N,,,,
8,서울시 영등포구 여의도동 41,대교아파트 1동 108호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,안혜진,040422-3******,"서울시 영등포구 여의도동 41, 101동 108호",2022-03-10,3,상속,2024년05월28일,292670000,안혜진,주식회사통합은행,,,,,292670000,1,4,실거주 추정,N,,,,
9,서울시 영등포구 여의도동 41,대교아파트 1동 109호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,이시우,031220-4******,"서울시 영등포구 여의도동 41, 101동 109호",2019-03-17,6,상속,2012년11월08일,265510000,이시우,주식회사하나은행,,,,,265510000,1,3,실거주 추정,N,,,,
10,서울시 영등포구 여의도동 41,대교아파트 1동 110호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,한철수,520717-1******,"서울시 영등포구 여의도동 41, 101동 110호",2020-05-13,5,매매,2021년06월11일,1217590000,한철수,주식회사명동은행,,,,,1217590000,1,3,실거주 추정,N,,,,
11,서울시 영등포구 여의도동 41,대교아파트 1동 111호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,송영수,030521-3******,"서울시 영등포구 여의도동 41, 101동 111호",2023-03-13,2,증여,2022년02월26일,938660000,송영수,주식회사한솔은행,,,,,938660000,1,0,실거주 추정,N,,,,
12,서울시 영등포구 여의도동 41,대교아파트 1동 112호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,최하은,840815-2******,"서울시 영등포구 여의도동 41, 101동 112호",2007-12-18,17,매매,2012년02월10일,289820000,최하은,주식회사농협은행,,,,,289820000,1,0,실거주 추정,N,,,,
13,서울시 영등포구 여의도동 41,대교아파트 1동 201호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,한용하,920827-2******,"서울시 영등포구 여의도동 41, 101동 201호",2005-12-26,19,매매,2021년07월12일,721500000,한용하,주식회사한솔은행,,,,,721500000,1,1,실거주 추정,N,,,,
14,서울시 영등포구 여의도동 41,대교아파트 1동 202호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,한예준,050519-3******,서울시 서대문구 충정로 905-8,2008-03-13,17,매매,2023년01월26일,501150000,한예준,주식회사통합은행,,,,,501150000,1,5,세입자 가능성,N,,,,
15,서울시 영등포구 여의도동 41,대교아파트 1동 203호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,서상훈,050506-3******,"서울시 영등포구 여의도동 41, 101동 203호",2015-10-13,10,매매,2019년03월26일,196660000,서상훈,주식회사통합은행,,,,,196660000,1,3,실거주 추정,N,,,,
16,서울시 영등포구 여의도동 41,대교아파트 1동 204호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,김은서,810719-1******,"서울시 영등포구 여의도동 41, 101동 204호",2011-07-09,14,상속,2012년09월03일,299780000,김은서,주식회사등본은행,,,,,299780000,1,0,실거주 추정,N,,,,
17,서울시 영등포구 여의도동 41,대교아파트 1동 205호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,이은서,730125-1******,"서울시 영등포구 여의도동 41, 101동 205호",2007-02-16,18,증여,2021년09월22일,824090000,이은서,주식회사신한은행,,,,,824090000,1,4,실거주 추정,N,,,,
18,서울시 영등포구 여의도동 41,대교아파트 1동 206호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,임상훈,001005-3******,"서울시 영등포구 여의도동 41, 101동 206호",2013-10-08,12,상속,,0,임상훈,,,,,,0,,3,실거주 추정,N,,,,
19,서울시 영등포구 여의도동 41,대교아파트 1동 207호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,오기태,020622-3******,"서울시 영등포구 여의도동 41, 101동 207호",2023-03-30,2,매매,,0,오기태,,,,,,0,,1,실거주 추정,N,,,,
20,서울시 영등포구 여의도동 41,대교아파트 1동 208호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,강미나,031123-3******,"서울시 영등포구 여의도동 41, 101동 208호",2014-05-28,11,증여,,0,강미나,,,,,,0,,4,실거주 추정,N,,,,
21,서울시 영등포구 여의도동 41,대교아파트 1동 209호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,한두산,730526-2******,"서울시 영등포구 여의도동 41, 101동 209호",2023-10-12,2,매매,2018년11월04일,990090000,한두산,주식회사등본은행,,,,,990090000,1,2,실거주 추정,N,,,,
22,서울시 영등포구 여의도동 41,대교아파트 1동 210호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,이서연,020910-4******,"서울시 영등포구 여의도동 41, 101동 210호",2011-06-17,14,증여,,0,이서연,,,,,,0,,5,실거주 추정,N,,,,
23,서울시 영등포구 여의도동 41,대교아파트 1동 211호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,안영희,040906-3******,"서울시 영등포구 여의도동 41, 101동 211호",2022-04-28,3,증여,,0,안영희,,,,,,0,,4,실거주 추정,N,,,,
24,서울시 영등포구 여의도동 41,대교아파트 1동 212호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,안미나,510325-2******,서울시 노원구 하계동 44-23,2012-03-12,13,증여,2020년10월28일,958010000,안미나,주식회사우리은행,,,,,958010000,1,2,세입자 가능성,N,,,,
25,서울시 영등포구 여의도동 41,대교아파트 1동 301호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,오철수,040315-3******,"서울시 영등포구 여의도동 41, 101동 301호",2007-08-01,18,상속,2024년02월15일,837950000,오철수,주식회사명동은행,,,,,837950000,1,3,실거주 추정,N,,,,
26,서울시 영등포구 여의도동 41,대교아파트 1동 302호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,황기태,000812-4******,"서울시 영등포구 여의도동 41, 101동 302호",2017-05-10,8,증여,,0,황기태,,,,,,0,,4,실거주 추정,N,,,,
27,서울시 영등포구 여의도동 41,대교아파트 1동 303호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,한수진,000620-4******,서울시 강동구 상일동 628-65,2013-06-18,12,매매,2015년11월11일,843500000,한수진,주식회사신한은행,,,,,843500000,1,1,세입자 가능성,N,,,,
28,서울시 영등포구 여의도동 41,대교아파트 1동 304호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,최수빈,540503-2******,"서울시 영등포구 여의도동 41, 101동 304호",2015-08-04,10,증여,2018년03월06일,966480000,최수빈,주식회사하나은행,,,,,966480000,1,4,실거주 추정,N,,,,
29,서울시 영등포구 여의도동 41,대교아파트 1동 305호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,윤혜진,011119-4******,"서울시 영등포구 여의도동 41, 101동 305호",2009-03-30,16,상속,2018년06월26일,588560000,윤혜진,주식회사농협은행,,,,,588560000,1,1,실거주 추정,N,,,,
30,서울시 영등포구 여의도동 41,대교아파트 1동 306호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,정시우,610122-2******,"서울시 영등포구 여의도동 41, 101동 306호",2009-09-20,16,상속,2024년08월04일,392290000,정시우,주식회사한솔은행,,,,,392290000,1,5,실거주 추정,N,,,,
31,서울시 영등포구 여의도동 41,대교아파트 1동 307호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,김유진,880818-2******,"서울시 영등포구 여의도동 41, 101동 307호",2015-03-07,10,증여,2013년11월15일,1062710000,김유진,주식회사신한은행,,,,,1062710000,1,3,실거주 추정,N,,,,
32,서울시 영등포구 여의도동 41,대교아파트 1동 308호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,임은서,941111-2******,"서울시 영등포구 여의도동 41, 101동 308호",2014-09-06,11,매매,2019년04월28일,785210000,임은서,주식회사국민은행,,,,,785210000,1,5,실거주 추정,N,,,,
33,서울시 영등포구 여의도동 41,대교아파트 1동 309호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,신혜진,030128-4******,"서울시 영등포구 여의도동 41, 101동 309호",2008-10-12,17,증여,2011년10월20일,886080000,신혜진,주식회사우리은행,,,,,886080000,1,1,실거주 추정,N,,,,
34,서울시 영등포구 여의도동 41,대교아파트 1동 310호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,윤서연,550125-2******,서울시 관악구 신림동 809-46,2024-08-13,1,상속,2020년03월03일,1495180000,윤서연,주식회사우리은행,,,,,1495180000,1,1,세입자 가능성,N,,,,
35,서울시 영등포구 여의도동 41,대교아파트 1동 311호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,서미나,040817-4******,"서울시 영등포구 여의도동 41, 101동 311호",2012-09-18,13,상속,2018년11월26일,1168990000,서미나,주식회사등본은행,,,,,1168990000,1,1,실거주 추정,N,,,,
36,서울시 영등포구 여의도동 41,대교아파트 1동 312호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,송준서,001217-3******,서울시 마포구 용강동 111-32,2022-03-27,3,상속,2017년03월07일,756550000,송준서,주식회사등본은행,,,,,756550000,1,3,세입자 가능성,N,,,,
37,서울시 영등포구 여의도동 41,대교아파트 1동 401호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,윤미나,000824-4******,"서울시 영등포구 여의도동 41, 101동 401호",2016-01-08,9,상속,2015년06월16일,1159910000,윤미나,주식회사한솔은행,,,,,1159910000,1,2,실거주 추정,N,,,,
38,서울시 영등포구 여의도동 41,대교아파트 1동 402호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,홍기태,020824-4******,"서울시 영등포구 여의도동 41, 101동 402호",2019-09-16,6,매매,2017년11월19일,874330000,홍기태,주식회사하나은행,,,,,874330000,1,4,실거주 추정,N,,,,
