일련번호,주소,동,층,호수,동호수,전체주소,면적,지목,소유자명,주민번호,성별,연령대,소유형태,지분,소유자주소,거주투자구분,투자자거주지역,등기원인,등기일자,접수번호,근저당권유무,대출총액,근저당권자,근저당설정일,근저당접수번호,압류가압류유무,압류구분,압류일자,압류접수번호,압류권리자
1,서울시 용산구 이태원동 22-2,1동,1,101호,1동101호,서울시 중랑구 면목동 110-1 청하아파트 1동101호,154,대,장서연,561016-2******,여성,60대,단독소유,단독소유,서울시 서초구 삼성동 169-34,투자 목적,서울,상속,2002-03-01,제95360호,Y,867180000,기업은행,2024-04-12,제35012호,N,,,,
2,서울시 용산구 이태원동 22-2,1동,1,102호,1동102호,서울시 중랑구 면목동 110-1 청하아파트 1동102호,154,대,조예준,800718-1******,남성,40대,공유자,3분의 1,경기도 고양시 분당구 정자동 813-78,투자 목적,경기,매매,2017-04-22,제18228호,Y,140800000,기업은행,2022-06-25,제43708호,N,,,,
3,서울시 용산구 이태원동 22-2,1동,1,103호,1동103호,서울시 중랑구 면목동 110-1 청하아파트 1동103호,154,대,김지호,510615-2******,여성,70대,단독소유,단독소유,서울시 송파구 역삼동 424-23,투자 목적,서울,증여,2024-07-07,제16223호,Y,995650000,신한은행,2012-11-25,제53072호,N,,,,
4,서울시 용산구 이태원동 22-2,1동,1,104호,1동104호,서울시 중랑구 면목동 110-1 청하아파트 1동104호,154,대,강민서,750801-1******,남성,40대,단독소유,단독소유,서울시 서초구 역삼동 30-40,투자 목적,서울,매매,2022-11-01,제94940호,Y,339960000,기업은행,2018-06-12,제52226호,N,,,,
5,서울시 용산구 이태원동 22-2,1동,1,105호,1동105호,서울시 중랑구 면목동 110-1 청하아파트 1동105호,154,대,장시우,621208-1******,남성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동105호,실거주,-,매매,2017-02-20,제79812호,N,0,,,,N,,,,
6,서울시 용산구 이태원동 22-2,1동,1,106호,1동106호,서울시 중랑구 면목동 110-1 청하아파트 1동106호,154,대,임서준,820410-2******,여성,40대,단독소유,단독소유,서울시 송파구 역삼동 778-6,투자 목적,서울,매매,2002-11-13,제73142호,Y,295680000,국민은행,2024-06-15,제23832호,N,,,,
7,서울시 용산구 이태원동 22-2,1동,1,107호,1동107호,서울시 중랑구 면목동 110-1 청하아파트 1동107호,154,대,조민서,671022-2******,여성,50대,단독소유,단독소유,서울시 서초구 삼성동 537-80,투자 목적,서울,증여,2020-11-09,제70030호,Y,896690000,우리은행,2015-09-10,제62639호,N,,,,
8,서울시 용산구 이태원동 22-2,1동,2,101호,1동101호,서울시 중랑구 면목동 110-1 청하아파트 1동101호,154,대,이민서,******-*******,남성,미분류,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동101호,실거주,-,매매,2024-06-08,제52569호,Y,180780000,기업은행,2019-08-25,제38690호,N,,,,
9,서울시 용산구 이태원동 22-2,1동,2,102호,1동102호,서울시 중랑구 면목동 110-1 청하아파트 1동102호,154,대,이영희,950219-2******,여성,20대,단독소유,단독소유,서울시 송파구 역삼동 716-54,투자 목적,서울,증여,2015-10-12,제69736호,Y,122450000,신한은행,2018-06-29,제71999호,N,,,,
10,서울시 용산구 이태원동 22-2,1동,2,103호,1동103호,서울시 중랑구 면목동 110-1 청하아파트 1동103호,154,대,정지호,851128-1******,남성,30대,단독소유,단독소유,서울시 서초구 삼성동 838-24,투자 목적,서울,상속,2002-05-13,제70654호,Y,145570000,신한은행,2021-04-02,제95993호,N,,,,
11,서울시 용산구 이태원동 22-2,1동,2,104호,1동104호,서울시 중랑구 면목동 110-1 청하아파트 1동104호,154,대,정도윤,701220-1******,남성,50대,공유자,2분의 1,서울시 송파구 역삼동 961-76,투자 목적,서울,증여,2018-06-01,제55247호,Y,544930000,기업은행,2012-10-25,제22970호,N,,,,
12,서울시 용산구 이태원동 22-2,1동,2,105호,1동105호,서울시 중랑구 면목동 110-1 청하아파트 1동105호,154,대,이서연,530706-1******,남성,70대,단독소유,단독소유,경기도 성남시 분당구 정자동 196-41,투자 목적,경기,상속,2021-07-03,제1177호,Y,373320000,국민은행,2016-09-17,제50680호,N,,,,
13,서울시 용산구 이태원동 22-2,1동,2,106호,1동106호,서울시 중랑구 면목동 110-1 청하아파트 1동106호,154,대,김영자,580522-1******,남성,60대,단독소유,단독소유,서울시 송파구 삼성동 314-94,투자 목적,서울,경매,2014-07-08,제88459호,N,0,,,,N,,,,
14,서울시 용산구 이태원동 22-2,1동,2,107호,1동107호,서울시 중랑구 면목동 110-1 청하아파트 1동107호,154,대,이하준,371010-2******,여성,80대,단독소유,단독소유,서울시 강남구 삼성동 59-38,투자 목적,서울,경매,2003-02-21,제67525호,Y,992410000,기업은행,2022-01-08,제45519호,N,,,,
15,서울시 용산구 이태원동 22-2,1동,3,101호,1동101호,서울시 중랑구 면목동 110-1 청하아파트 1동101호,154,대,윤서연,860708-2******,여성,30대,단독소유,단독소유,경기도 성남시 분당구 정자동 714-65,투자 목적,경기,매매,2020-05-02,제41845호,Y,476640000,우리은행,2012-12-05,제93241호,N,,,,
16,서울시 용산구 이태원동 22-2,1동,3,102호,1동102호,서울시 중랑구 면목동 110-1 청하아파트 1동102호,154,대,최주원,550902-2******,여성,60대,단독소유,단독소유,대전시 유성구 봉명동 319-72,투자 목적,대전,매매,2018-11-17,제42769호,N,0,,,,N,,,,
17,서울시 용산구 이태원동 22-2,1동,3,103호,1동103호,서울시 중랑구 면목동 110-1 청하아파트 1동103호,154,대,김서준,500601-1******,남성,70대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 1동103호,실거주,-,매매,2018-07-04,제97328호,Y,854400000,기업은행,2017-08-31,제1921호,N,,,,
