소유자명,생년월일,동호수,소유자_주소,아파트_소재지,도로명주소,건축물_연면적,거주형태,등기목적_분류,등기원인_년월일,근저당설정여부,근저당금액,보유기간,압류가압류,소유형태,세대유형,공유자수,단독소유자수
홍길동1,940918,1동6602,"서울특별시 서초구 서초중앙로29길 28, 1231호",서울특별시 서초구 서초동 1234-56 제6층 제602호,서울특별시 서초구 서초중앙로29길 28,84,실거주,매매,2020.10.08,N,0,4년 11개월,없음,단독소유자,단독세대,0,1
홍길동2,571013,1동252502,"서울특별시 서초구 서초중앙로29길 28, 1331호",서울특별시 서초구 서초동 1234-56 제25층 제2502호,서울특별시 서초구 서초중앙로29길 28,84,실거주,매매,2007.12.23,N,0,17년 9개월,없음,단독소유자,단독세대,0,1
홍길동3,700124,1동4401,"서울특별시 서초구 서초중앙로29길 28, 2539호",서울특별시 서초구 서초동 1234-56 제4층 제401호,서울특별시 서초구 서초중앙로29길 28,84,실거주,매매,2022.04.24,N,0,3년 5개월,없음,단독소유자,단독세대,0,1
홍길동4,500902,1동202003,서울특별시 영등포구 196번길 7,서울특별시 서초구 서초동 1234-56 제20층 제2003호,서울특별시 서초구 서초중앙로29길 28,84,투자,매매,2023.12.13,N,0,1년 9개월,없음,단독소유자,단독세대,0,1
홍길동5,690710,1동6606,"서울특별시 서초구 서초중앙로29길 28, 469호",서울특별시 서초구 서초동 1234-56 제6층 제606호,서울특별시 서초구 서초중앙로29길 28,84,실거주,매매,1995.05.03,N,0,30년 5개월,없음,단독소유자,단독세대,0,1
홍길동6,480818,1동141410,"서울특별시 서초구 서초중앙로29길 28, 635호",서울특별시 서초구 서초동 1234-56 제14층 제1410호,서울특별시 서초구 서초중앙로29길 28,84,실거주,매매,1994.02.09,N,0,31년 8개월,없음,단독소유자,단독세대,0,1
홍길동7,970222,1동131306,"서울특별시 서초구 서초중앙로29길 28, 2460호",서울특별시 서초구 서초동 1234-56 제13층 제1306호,서울특별시 서초구 서초중앙로29길 28,84,실거주,매매,1991.05.06,Y,526241104,34년 5개월,없음,단독소유자,단독세대,0,1
홍길동8,630127,1동232306,"서울특별시 서초구 서초중앙로29길 28, 698호",서울특별시 서초구 서초동 1234-56 제23층 제2306호,서울특별시 서초구 서초중앙로29길 28,84,실거주,매매,1987.01.08,Y,298684638,38년 9개월,없음,단독소유자,단독세대,0,1
홍길동9,660623,1동161608,"서울특별시 서초구 서초중앙로29길 28, 1279호",서울특별시 서초구 서초동 1234-56 제16층 제1608호,서울특별시 서초구 서초중앙로29길 28,84,실거주,매매,2002.09.17,Y,694381544,23년 0개월,없음,단독소유자,단독세대,0,1
홍길동10,760719,1동3305,서울특별시 강동구 73번길 89,서울특별시 서초구 서초동 1234-56 제3층 제305호,서울특별시 서초구 서초중앙로29길 28,84,투자,매매,2003.08.21,Y,233164099,22년 1개월,없음,단독소유자,단독세대,0,1
홍길동11,801128,1동5501,"서울특별시 서초구 서초중앙로29길 28, 1692호",서울특별시 서초구 서초동 1234-56 제5층 제501호,서울특별시 서초구 서초중앙로29길 28,84,실거주,매매,2014.09.23,Y,732396501,11년 0개월,없음,단독소유자,단독세대,0,1
홍길동12,740206,1동161609,경기도 수원시 249번길 77,서울특별시 서초구 서초동 1234-56 제16층 제1609호,서울특별시 서초구 서초중앙로29길 28,84,투자,매매,2022.06.16,Y,291553790,3년 3개월,없음,단독소유자,단독세대,0,1
홍길동13,810621,1동181805,서울특별시 강남구 178번길 88,서울특별시 서초구 서초동 1234-56 제18층 제1805호,서울특별시 서초구 서초중앙로29길 28,84,투자,매매,2023.05.08,N,0,2년 4개월,없음,단독소유자,단독세대,0,1
홍길동14,580224,1동232310,"서울특별시 서초구 서초중앙로29길 28, 1710호",서울특별시 서초구 서초동 1234-56 제23층 제2310호,서울특별시 서초구 서초중앙로29길 28,84,실거주,매매,2022.03.14,Y,408231141,3년 6개월,없음,단독소유자,단독세대,0,1
홍길동15,740307,1동202009,"서울특별시 서초구 서초중앙로29길 28, 1940호",서울특별시 서초구 서초동 1234-56 제20층 제2009호,서울특별시 서초구 서초중앙로29길 28,84,실거주,매매,2018.12.17,N,0,6년 9개월,없음,단독소유자,단독세대,0,1
홍길동16,710218,1동5503,서울특별시 서초구 290번길 21,서울특별시 서초구 서초동 1234-56 제5층 제503호,서울특별시 서초구 서초중앙로29길 28,84,투자,매매,1992.07.10,N,0,33년 3개월,없음,단독소유자,단독세대,0,1
홍길동17,390205,1동212110,"서울특별시 서초구 서초중앙로29길 28, 723호",서울특별시 서초구 서초동 1234-56 제21층 제2110호,서울특별시 서초구 서초중앙로29길 28,84,실거주,매매,2003.04.22,N,0,22년 5개월,없음,단독소유자,단독세대,0,1
홍길동18,741016,1동131303,서울특별시 강남구 245번길 18,서울특별시 서초구 서초동 1234-56 제13층 제1303호,서울특별시 서초구 서초중앙로29길 28,84,투자,매매,2023.04.02,N,0,2년 6개월,없음,단독소유자,단독세대,0,1
홍길동19,720424,1동8802,"서울특별시 서초구 서초중앙로29길 28, 1206호",서울특별시 서초구 서초동 1234-56 제8층 제802호,서울특별시 서초구 서초중앙로29길 28,84,실거주,매매,1995.12.11,N,0,29년 10개월,없음,단독소유자,단독세대,0,1
홍길동20,720120,1동141406,"서울특별시 서초구 서초중앙로29길 28, 1852호",서울특별시 서초구 서초동 1234-56 제14층 제1406호,서울특별시 서초구 서초중앙로29길 28,84,실거주,매매,2005.09.21,Y,202621875,20년 0개월,없음,단독소유자,단독세대,0,1
홍길동21,670815,1동181809,"서울특별시 서초구 서초중앙로29길 28, 2233호",서울특별시 서초구 서초동 1234-56 제18층 제1809호,서울특별시 서초구 서초중앙로29길 28,84,실거주,매매,1994.11.02,Y,411092039,30년 11개월,없음,단독소유자,단독세대,0,1
홍길동22,700806,1동212101,서울특별시 강동구 204번길 39,서울특별시 서초구 서초동 1234-56 제21층 제2101호,서울특별시 서초구 서초중앙로29길 28,84,투자,매매,2009.12.17,N,0,15년 9개월,없음,단독소유자,단독세대,0,1
홍길동23,620711,1동7708,부산광역시 남구 280번길 18,서울특별시 서초구 서초동 1234-56 제7층 제708호,서울특별시 서초구 서초중앙로29길 28,84,투자,매매,2000.05.11,Y,312726480,25년 4개월,없음,공유자,공유세대,2,0
홍길동24,470223,1동131302,"서울특별시 서초구 서초중앙로29길 28, 607호",서울특별시 서초구 서초동 1234-56 제13층 제1302호,서울특별시 서초구 서초중앙로29길 28,84,실거주,매매,2011.07.18,N,0,14년 2개월,없음,단독소유자,단독세대,0,1
