소유자명,생년월일,동호수,소유자_주소,아파트_소재지,도로명주소,건축물_연면적,거주형태,등기목적_분류,등기원인_년월일,근저당설정여부,근저당금액,보유기간,압류가압류,소유형태,세대유형,공유자수,단독소유자수
이민서,680527,1동101호,서울시 용산구 장문로 27 청화아파트 1동101호,서울시 용산구 장문로 27 청화아파트 1동101호,서울특별시 용산구 장문로 27,115,실거주,경매,2025-12-28,Y,291350000,-1년 10개월,없음,단독소유자,단독세대,0,1
조민서,410811,1동102호,서울시 용산구 장문로 27 청화아파트 1동102호,서울시 용산구 장문로 27 청화아파트 1동102호,서울특별시 용산구 장문로 27,154,실거주,경매,2005-07-26,N,0,20년 3개월,없음,단독소유자,단독세대,0,1
윤주원,600916,1동103호,서울시 관악구 석촌동 910-89,서울시 용산구 장문로 27 청화아파트 1동103호,서울특별시 용산구 장문로 27,154,투자,경매,2020-06-02,Y,397820000,5년 4개월,없음,단독소유자,단독세대,0,1
윤서연,560919,1동104호,서울시 용산구 장문로 27 청화아파트 1동104호,서울시 용산구 장문로 27 청화아파트 1동104호,서울특별시 용산구 장문로 27,154,실거주,매매,2005-08-24,N,0,20년 2개월,없음,단독소유자,단독세대,0,1
김지호,620421,1동105호,경기도 고양시 일산구 백석동 185-67,서울시 용산구 장문로 27 청화아파트 1동105호,서울특별시 용산구 장문로 27,115,투자,증여,2024-07-07,Y,995650000,1년 3개월,없음,단독소유자,단독세대,0,1
이영희,711203,1동106호,서울시 광진구 압구정동 585-10,서울시 용산구 장문로 27 청화아파트 1동106호,서울특별시 용산구 장문로 27,154,투자,경매,2010-07-26,N,0,15년 3개월,없음,단독소유자,단독세대,0,1
윤서준,850703,1동107호,서울시 용산구 장문로 27 청화아파트 1동107호,서울시 용산구 장문로 27 청화아파트 1동107호,서울특별시 용산구 장문로 27,154,실거주,경매,2020-09-12,N,0,5년 1개월,없음,단독소유자,단독세대,0,1
조예준,791008,1동101호,서울시 광진구 대치동 37-76,서울시 용산구 장문로 27 청화아파트 1동101호,서울특별시 용산구 장문로 27,115,투자,매매,2017-04-22,Y,140800000,8년 6개월,없음,공유자,공유세대,2,0
강영자,591009,1동102호,서울시 용산구 장문로 27 청화아파트 1동102호,서울시 용산구 장문로 27 청화아파트 1동102호,서울특별시 용산구 장문로 27,154,실거주,경매,2016-12-02,Y,263810000,8년 10개월,없음,단독소유자,단독세대,0,1
조하준,740707,1동103호,서울시 도봉구 역삼동 916-89,서울시 용산구 장문로 27 청화아파트 1동103호,서울특별시 용산구 장문로 27,115,투자,상속,2021-09-12,Y,244450000,4년 1개월,없음,단독소유자,단독세대,0,1
윤시우,530915,1동104호,서울시 용산구 장문로 27 청화아파트 1동104호,서울시 용산구 장문로 27 청화아파트 1동104호,서울특별시 용산구 장문로 27,115,실거주,경매,2007-09-12,Y,587790000,18년 1개월,없음,단독소유자,단독세대,0,1
임시우,590505,1동105호,서울시 용산구 장문로 27 청화아파트 1동105호,서울시 용산구 장문로 27 청화아파트 1동105호,서울특별시 용산구 장문로 27,115,실거주,매매,2003-04-06,Y,304330000,22년 6개월,없음,단독소유자,단독세대,0,1
장시우,420422,1동106호,서울시 용산구 장문로 27 청화아파트 1동106호,서울시 용산구 장문로 27 청화아파트 1동106호,서울특별시 용산구 장문로 27,154,실거주,상속,2012-10-18,Y,913860000,13년 0개월,없음,단독소유자,단독세대,0,1
장시우,580727,1동107호,서울시 강서구 잠실동 48-96,서울시 용산구 장문로 27 청화아파트 1동107호,서울특별시 용산구 장문로 27,115,투자,매매,2017-02-20,N,0,8년 8개월,없음,공유자,공유세대,2,0
장순자,630317,1동101호,서울시 용산구 장문로 27 청화아파트 1동101호,서울시 용산구 장문로 27 청화아파트 1동101호,서울특별시 용산구 장문로 27,115,실거주,매매,2007-10-27,Y,777940000,18년 0개월,없음,단독소유자,단독세대,0,1
강민준,751001,1동102호,서울시 노원구 잠실동 276-80,서울시 용산구 장문로 27 청화아파트 1동102호,서울특별시 용산구 장문로 27,115,투자,증여,1997-12-07,Y,793690000,27년 10개월,없음,단독소유자,단독세대,0,1
조민서,690619,1동103호,경기도 화성시 동탄구 동탄동 118-63,서울시 용산구 장문로 27 청화아파트 1동103호,서울특별시 용산구 장문로 27,154,투자,경매,2004-06-25,Y,764310000,21년 4개월,없음,단독소유자,단독세대,0,1
정민준,480404,1동104호,서울시 용산구 장문로 27 청화아파트 1동104호,서울시 용산구 장문로 27 청화아파트 1동104호,서울특별시 용산구 장문로 27,115,실거주,상속,2025-03-24,Y,106780000,0년 7개월,없음,단독소유자,단독세대,0,1
장하준,600611,1동105호,서울시 용산구 장문로 27 청화아파트 1동105호,서울시 용산구 장문로 27 청화아파트 1동105호,서울특별시 용산구 장문로 27,154,실거주,상속,2023-11-07,Y,463440000,1년 11개월,없음,단독소유자,단독세대,0,1
조민준,780401,1동106호,경기도 용인시 수지구 동탄동 656-74,서울시 용산구 장문로 27 청화아파트 1동106호,서울특별시 용산구 장문로 27,115,투자,상속,2020-02-01,N,0,5년 8개월,없음,단독소유자,단독세대,0,1
윤서연,530601,1동107호,서울시 용산구 장문로 27 청화아파트 1동107호,서울시 용산구 장문로 27 청화아파트 1동107호,서울특별시 용산구 장문로 27,115,실거주,매매,2020-05-02,Y,476640000,5년 5개월,없음,단독소유자,단독세대,0,1
박주원,820405,1동101호,서울시 용산구 장문로 27 청화아파트 1동101호,서울시 용산구 장문로 27 청화아파트 1동101호,서울특별시 용산구 장문로 27,154,실거주,매매,2016-02-11,Y,468910000,9년 8개월,없음,단독소유자,단독세대,0,1
정도윤,500520,1동102호,서울시 성동구 석촌동 34-10,서울시 용산구 장문로 27 청화아파트 1동102호,서울특별시 용산구 장문로 27,115,투자,증여,2018-06-01,Y,544930000,7년 4개월,없음,단독소유자,단독세대,0,1
이하준,680410,1동103호,서울시 용산구 장문로 27 청화아파트 1동103호,서울시 용산구 장문로 27 청화아파트 1동103호,서울특별시 용산구 장문로 27,115,실거주,경매,2003-02-21,Y,992410000,22년 8개월,없음,단독소유자,단독세대,0,1
강주원,780315,1동104호,경기도 고양시 일산구 백석동 696-99,서울시 용산구 장문로 27 청화아파트 1동104호,서울특별시 용산구 장문로 27,154,투자,경매,2023-04-17,Y,772720000,2년 6개월,없음,단독소유자,단독세대,0,1
강서준,710906,1동105호,서울시 노원구 역삼동 67-40,서울시 용산구 장문로 27 청화아파트 1동105호,서울특별시 용산구 장문로 27,154,투자,경매,2021-06-18,Y,980530000,4년 4개월,없음,단독소유자,단독세대,0,1
정주원,500424,1동106호,서울시 용산구 장문로 27 청화아파트 1동106호,서울시 용산구 장문로 27 청화아파트 1동106호,서울특별시 용산구 장문로 27,154,실거주,상속,2018-05-27,Y,756220000,7년 5개월,없음,단독소유자,단독세대,0,1
김민준,620204,1동107호,서울시 용산구 장문로 27 청화아파트 1동107호,서울시 용산구 장문로 27 청화아파트 1동107호,서울특별시 용산구 장문로 27,154,실거주,상속,2022-03-28,N,0,3년 7개월,없음,단독소유자,단독세대,0,1
강지호,740210,1동101호,서울시 동작구 논현동 617-46,서울시 용산구 장문로 27 청화아파트 1동101호,서울특별시 용산구 장문로 27,115,투자,증여,1995-07-19,Y,712490000,30년 3개월,없음,단독소유자,단독세대,0,1
조민서,660718,1동102호,서울시 용산구 신사동 685-74,서울시 용산구 장문로 27 청화아파트 1동102호,서울특별시 용산구 장문로 27,115,투자,증여,2020-11-09,Y,896690000,4년 11개월,없음,단독소유자,단독세대,0,1
이서준,******,1동103호,서울시 용산구 장문로 27 청화아파트 1동103호,서울시 용산구 장문로 27 청화아파트 1동103호,서울특별시 용산구 장문로 27,115,실거주,증여,2018-08-28,N,0,7년 2개월,없음,단독소유자,단독세대,0,1
박영자,680806,1동104호,서울시 용산구 장문로 27 청화아파트 1동104호,서울시 용산구 장문로 27 청화아파트 1동104호,서울특별시 용산구 장문로 27,154,실거주,경매,2022-04-18,Y,365100000,3년 6개월,없음,단독소유자,단독세대,0,1
강주원,481010,1동105호,강원도 춘천시 퇴계동 942-73,서울시 용산구 장문로 27 청화아파트 1동105호,서울특별시 용산구 장문로 27,154,투자,경매,2020-08-04,N,0,5년 2개월,없음,단독소유자,단독세대,0,1
조서연,500123,1동106호,서울시 동대문구 송파동 971-6,서울시 용산구 장문로 27 청화아파트 1동106호,서울특별시 용산구 장문로 27,154,투자,증여,2012-07-25,N,0,13년 3개월,없음,단독소유자,단독세대,0,1
강서준,371226,1동107호,서울시 중구 대치동 944-99,서울시 용산구 장문로 27 청화아파트 1동107호,서울특별시 용산구 장문로 27,154,투자,상속,2020-06-23,Y,280580000,5년 4개월,없음,단독소유자,단독세대,0,1
박순자,590515,1동101호,서울시 강서구 삼성동 47-13,서울시 용산구 장문로 27 청화아파트 1동101호,서울특별시 용산구 장문로 27,154,투자,상속,2018-05-24,Y,309960000,7년 5개월,없음,단독소유자,단독세대,0,1
장민준,840823,1동102호,서울시 용산구 장문로 27 청화아파트 1동102호,서울시 용산구 장문로 27 청화아파트 1동102호,서울특별시 용산구 장문로 27,154,실거주,상속,2005-01-16,N,0,20년 9개월,없음,단독소유자,단독세대,0,1
박시우,770125,1동103호,"6784 Elm St, Los Angeles, CA, USA",서울시 용산구 장문로 27 청화아파트 1동103호,서울특별시 용산구 장문로 27,154,투자,증여,2004-10-09,N,0,21년 0개월,없음,단독소유자,단독세대,0,1
김주원,740126,1동104호,서울시 강동구 잠실동 53-67,서울시 용산구 장문로 27 청화아파트 1동104호,서울특별시 용산구 장문로 27,115,투자,매매,2001-06-26,Y,715710000,24년 4개월,없음,단독소유자,단독세대,0,1
임순자,660203,1동105호,서울시 용산구 장문로 27 청화아파트 1동105호,서울시 용산구 장문로 27 청화아파트 1동105호,서울특별시 용산구 장문로 27,154,실거주,매매,2020-04-06,Y,525990000,5년 6개월,없음,단독소유자,단독세대,0,1
조하준,460221,1동106호,서울시 용산구 장문로 27 청화아파트 1동106호,서울시 용산구 장문로 27 청화아파트 1동106호,서울특별시 용산구 장문로 27,115,실거주,증여,2020-04-04,Y,885680000,5년 6개월,없음,단독소유자,단독세대,0,1
윤서연,600712,1동107호,서울시 종로구 대치동 771-87,서울시 용산구 장문로 27 청화아파트 1동107호,서울특별시 용산구 장문로 27,154,투자,상속,2023-12-23,Y,863700000,1년 10개월,없음,단독소유자,단독세대,0,1
이서연,431213,1동101호,서울시 도봉구 서초동 770-46,서울시 용산구 장문로 27 청화아파트 1동101호,서울특별시 용산구 장문로 27,115,투자,상속,2021-07-03,Y,373320000,4년 3개월,없음,단독소유자,단독세대,0,1
